id,display_name,alt_names,street,postnummer,ort,kommun,lan,lat,lon,svardighet
1,HSB Bostadsrättsförening Jägaren i Lund,,Jaktstigen 73,22652,Lund,Lunds kommun,Skåne län,55.7263,13.176,1
2,Brf Vallen i Malmö,,Gasverksgatan 3,21129,Malmö,Malmö kommun,Skåne län,55.6054,13.0088,1
3,Brf Åsunden i Malmö,,Lorensborgsgatan 3A,21761,Malmö,Malmö kommun,Skåne län,55.5889,12.9825,1
4,Brf Stjärnehus 3 i Malmö,,Sergels väg 9A,21757,Malmö,Malmö kommun,Skåne län,55.6018,12.9745,1
5,HSB Bostadsrättsförening Dadeln i Malmö,,Amiralsgatan 85,21437,Malmö,Malmö kommun,Skåne län,55.5906,13.0237,1
6,Brf RÅKAN 23,,Idrottsgatan 19,21614,Limhamn,Limhamn kommun,Skåne län,55.584,12.9349,1
7,Brf Slöjdgården,,Fasanvägen 5,22731,Lund,Lunds kommun,Skåne län,55.7038,13.1765,1
8,HSB Bostadsrättsförening Pildammen i Malmö,,Smedjegatan 21,21146,Malmö,Malmö kommun,Skåne län,55.5918,13.0024,1
9,Brf Tjäderhönan 2,,Bergsgatan 35,21422,Malmö,Malmö kommun,Skåne län,55.5932,13.0075,1
10,Brf Kalcium,,Blåsebergavägen 39,21633,Limhamn,Limhamn kommun,Skåne län,55.6126,12.9738,1
11,Brf Salongen 20,,Scaniaplatsen,21117,Malmö,Malmö kommun,Skåne län,55.5381,13.0955,1
12,HSB Bostadsrättsförening Dalgården i Malmö,,Keramikvägen 2G,23840,Oxie,Oxie kommun,Skåne län,55.6097,12.9938,1
13,Brf Kaj 306,,Beijerskajen 2,21119,Malmö,Malmö kommun,Skåne län,55.6143,12.9851,1
14,Brf Södra Sjöporten,,Lilla Varvsgatan 35,21175,Malmö,Malmö kommun,Skåne län,55.6143,12.9851,1
15,Brf Norra Sjöporten,,Lilla Varvsgatan 33,21175,Malmö,Malmö kommun,Skåne län,55.5994,13.0443,1
16,Brf Drivbänken i Malmö,,Håkanstorpsvägen 1,21229,Malmö,Malmö kommun,Skåne län,55.591,12.9807,1
17,Brf Langeland i Malmö,,Ribevägen 14A,21746,Malmö,Malmö kommun,Skåne län,55.6006,12.999,1
18,Brf Hästen 2,,Regementsgatan 8,21142,Malmö,Malmö kommun,Skåne län,55.5977,12.9777,1
19,Brf Ingelstad i Malmö,,Östra Ryttmästaregatan,21752,Malmö,Malmö kommun,Skåne län,55.6169,12.9896,1
20,Brf Kajmästaren,,Krankajen 22,21112,Malmö,Malmö kommun,Skåne län,55.6389,13.0614,1
21,Brf Strandängen 2 i Arlöv,,Tågvirkesgatan 2,23235,Arlöv,Arlöv kommun,Skåne län,55.6071,13.0096,1
22,Brf Solstrålen,,Norregatan 4,21127,Malmö,Malmö kommun,Skåne län,55.5923,13.0888,1
23,Brf Lillebror 1 i Malmö,,Bullerbygatan 87,21245,Malmö,Malmö kommun,Skåne län,55.6296,13.2012,1
24,Brf Vikhems Gård,,Vikhemsvägen 42,,Staffanstorp,Staffanstorp kommun,Skåne län,55.5613,12.9804,1
25,HSB Bostadsrättsföreningen Skansen i Malmö,,Hyllie allé 23,21536,Malmö,Malmö kommun,Skåne län,55.5823,13.0242,1
26,Brf Raden,,Lönngatan 52,21449,Malmö,Malmö kommun,Skåne län,55.568,13.0047,1
