id,display_name,alt_names,street,postnummer,ort,kommun,lan,lat,lon,svardighet
1,Bostadsrättsföreningen Träfiberplattan 2,,Östrandsvägen 68,12243,Stockholm,Stockholms kommun,Stockholms län,59.2830410,18.0474552,2
2,Danviksblick Brf,,Östra Finnbodavägen 11B,13132,Danviken,Nacka kommun,Stockholms län,59.3150826,18.1136684,2
3,London 1 Brf,,Östhammarsgatan 67,11559,Stockholm,Stockholms kommun,Stockholms län,59.3435726,18.1115261,2
4,Grand Mosebacke Brf,,Östgötagatan 25,11625,Stockholm,Stockholms kommun,Stockholms län,59.3158993,18.0762276,2
5,Djursborg 10 Brf,,Östermalmsgatan 97,11443,Stockholm,Stockholms kommun,Stockholms län,59.3391113,18.0889112,2
6,Vedbäraren 21 Brf,,Östermalmsgatan 96,11443,Stockholm,Stockholms kommun,Stockholms län,59.3388006,18.0888566,2
7,Brf Majtalaren nr 7,,Ängskärsgatan 6,11529,Stockholm,Stockholms kommun,Stockholms län,59.3426911,18.0970457,2
8,Majtalaren 6 Brf,,Ängskärsgatan 4,11529,Stockholm,Stockholms kommun,Stockholms län,59.3427900,18.0966460,2
9,Nybygget 19 Brf,,Åsögatan 165,11632,Stockholm,Stockholms kommun,Stockholms län,59.3144767,18.0851918,2
10,Husberget Brf,,Åsvägen 4,16954,Solna,Solna kommun,Stockholms län,59.3669033,17.9978369,2
11,Brf Rymmare 24,,Ålstensgatan,16765,Stockholm,Stockholms kommun,Stockholms län,59.3208816,17.9551130,2
12,Panorama Bredäng Brf,,Ålgrytevägen 122,12732,Stockholm,Stockholms kommun,Stockholms län,59.2983919,17.9284952,2
15,Tolken 1 Brf,,Ymsenvägen 10,12038,Stockholm,Stockholms kommun,Stockholms län,59.2973485,18.0683097,2
16,Balder Projektutveckling AB,,Warfvinges Väg,11217,Stockholm,Stockholms kommun,Stockholms län,59.3391247,18.0127279,2
18,Läraren 11 Brf,,Wallingatan 31,11124,Stockholm,Stockholms kommun,Stockholms län,59.3360319,18.0529824,2
19,Loket 23 Brf,,Völundsgatan 7,11321,Stockholm,Stockholms kommun,Stockholms län,59.3384773,18.0384098,2
20,Tendern 5 Brf,,Völundsgatan 3,11320,Stockholm,Stockholms kommun,Stockholms län,59.3379837,18.0381427,2
21,Henriksborg Brf,,Västra Finnbodavägen 9C,13171,Danviken,Nacka kommun,Stockholms län,59.3150526,18.1120655,2
22,Midgård 27 Brf,,Västmannagatan 85A,11326,Stockholm,Stockholms kommun,Stockholms län,59.3450810,18.0441268,2
23,Blåklinten 13 Brf,,Västmannagatan 70,11326,Stockholm,Stockholms kommun,Stockholms län,59.3439496,18.0456026,2
25,Bergslagen 25 Brf,,Västmannagatan 12,11124,Stockholm,Stockholms kommun,Stockholms län,59.3370251,18.0524634,2
26,Tull-kust,,Västerlånggatan 54,11129,Stockholm,Stockholms kommun,Stockholms län,59.3237564,18.0711212,2
27,Alba Stora Mossen 2,,Västerled,16758,Stockholm,Stockholms kommun,Stockholms län,59.3282103,17.9601663,2
28,Vänskapen 49 Brf,,Vänskapsvägen 49,11266,Stockholm,Stockholms kommun,Stockholms län,59.3217610,17.9865715,2
29,Essingeklippan 5 Brf,,Vänskapsvägen 36,11266,Stockholm,Stockholms kommun,Stockholms län,59.3215059,17.9863734,2
30,Brygghusen Brf,,Vågpiren,13561,Tyresö,Tyresö kommun,Stockholms län,59.2562445,18.2726598,2
31,Tendern 2 Brf,,Vulcanusgatan 4,11320,Stockholm,Stockholms kommun,Stockholms län,59.3381107,18.0372063,2
32,Vulcanusgatan 15 Brf,,Vulcanusgatan 15,11320,Stockholm,Stockholms kommun,Stockholms län,59.3390187,18.0374157,2
33,Vulcanusgatan 13 Brf,,Vulcanusgatan 13,11320,Stockholm,Stockholms kommun,Stockholms län,59.3388717,18.0373172,2
