id,display_name,alt_names,street,postnummer,ort,kommun,lan,lat,lon,svardighet
1,Trianon Stacken AB,,Almtorget 2a,21457,Malmö,Malmö kommun,Skåne län,55.5767041,13.0236431,2
2,Flora Brf,,Amiralsgatan 14,21155,Malmö,Malmö kommun,Skåne län,55.5993042,13.0086694,2
3,Guvernören L&M KB,,Banérsgatan 10,21148,Malmö,Malmö kommun,Skåne län,55.5985295,12.9931628,2
4,Stenbocken i Malmö HSB Brf,,Bangatan 4A,21426,Malmö,Malmö kommun,Skåne län,55.5895844,13.0106737,2
6,Misteln i Malmö Brf,,Baskemöllegatan,21440,Malmö,Malmö kommun,Skåne län,55.5909817,13.0261479,2
7,Västerfallet 12 Brf,,Beritta Gurrisgatan 23,21775,Malmö,Malmö kommun,Skåne län,55.5981299,12.9606692,2
8,Boklok Granen Brf,,Blodboksvägen,25374,Bårslöv,Helsingborgs kommun,Skåne län,56.0076406,12.8213235,2
10,John Ericsson Brf,,Bobergsängen 4a,21746,Malmö,Malmö kommun,Skåne län,55.5899020,12.9831966,2
11,Västmanland 15 Brf,,Bragegatan,21430,Malmö,Malmö kommun,Skåne län,55.5846808,13.0112462,2
12,Hököpinge Strösockret Brf,,Bruksparken 6A,23542,Hököpinge,Vellinge kommun,Skåne län,55.4992501,13.0042915,2
13,Fastighets Futura i Lund AB,,Brunnshögsgatan 20,22481,Lund,Lunds kommun,Skåne län,55.7180642,13.2340865,2
14,Hyllie Esplanadhus Brf,,Bures gata 25-27,21534,Malmö,Malmö kommun,Skåne län,55.5625930,12.9816019,2
15,Lillevång i Trelleborg Brf,,Danska vägen 76,23168,Trelleborg,Trelleborgs kommun,Skåne län,55.3890088,13.1476767,2
16,Midskeppet i Dockan Brf,,Dockgatan,21119,Malmö,Malmö kommun,Skåne län,55.6150815,12.9880226,2
17,Hermanstorp 7 Brf,,Edward Lindahlsgatan,21742,Malmö,Malmö kommun,Skåne län,55.5951562,12.9865778,2
18,Tingdammen Brf,,Emil Göranssons väg 3,23841,Oxie,Malmö kommun,Skåne län,55.5374427,13.0857781,2
19,Tegskiftet i Landskrona HSB Brf,,Enoch Thulins väg,26153,Karlslund,Landskrona kommun,Skåne län,55.8823789,12.8472391,2
20,Trianon Almhög Fast AB Stacken 9,,Eriksfältsgatan 78a,21457,Malmö,Malmö kommun,Skåne län,55.5739965,13.0231765,2
21,Linnéa Brf,,Flamtegelvägen,23841,Oxie,Malmö kommun,Skåne län,55.5380828,13.1036748,2
23,Vallen i Malmö Brf,,Gasverksgatan,21129,Malmö,Malmö kommun,Skåne län,55.6046782,13.0090496,2
24,Trianon Orten KB,,Hasselgatan 12,21434,Malmö,Malmö kommun,Skåne län,55.5880012,13.0155950,2
27,Hyllie Allé i Hyllie Brf,,Hyllie vattenparksgata,21536,Malmö,Malmö kommun,Skåne län,55.5589061,12.9821925,2
28,Fastighets AB Bellevuegården,,Hålsjögatan,21766,Malmö,Malmö kommun,Skåne län,55.5836005,12.9769739,2
29,Jägaren i Lund HSB Brf,,Jaktstigen 73,22652,Lund,Lunds kommun,Skåne län,55.7262682,13.1759505,2
30,Allén i Limhamn Brf,,Kalkstensvägen,21611,Malmö,Malmö kommun,Skåne län,55.5726669,12.9262048,2
31,Kaj 33 Brf,,Krankajen,21174,Malmö,Malmö kommun,Skåne län,55.6150249,12.9902881,2
33,Trianon Lerteglet 2 AB,,Lertegelvägen 1A,23841,Oxie,Malmö kommun,Skåne län,55.5402268,13.0988057,2
34,Trianon Lerteglet 1 AB,,Lertegelvägen,23841,Oxie,Malmö kommun,Skåne län,55.5403830,13.0975842,2
36,Trianon Mozart 2 AB,,Lindängsplan 12,21574,Malmö,Malmö kommun,Skåne län,55.5602232,13.0155553,2
37,Hackspetten 10 HSB Brf Malmö,,Linnégatan 29,21614,Malmö,Malmö kommun,Skåne län,55.5819620,12.9301602,2
38,Åsunden i Malmö Brf,,Lorensborgsgatan,21746,Malmö,Malmö kommun,Skåne län,55.5888782,12.9825414,2
39,Backahusen i Malmö Brf,,Lundavägen 41,21219,Malmö,Malmö kommun,Skåne län,55.6100985,13.0341987,2
40,Samfällighetsföreningen Katthult,,Lönnebergagatan,21241,Malmö,Malmö kommun,Skåne län,55.5944066,13.0984129,2
41,Mood 89 Brf,,Lönngatan 18,21446,Malmö,Malmö kommun,Skåne län,55.5862030,13.0138956,2
42,Lönnen Brf,,Lönngatan 46c,21449,Malmö,Malmö kommun,Skåne län,55.5836844,13.0219554,2
43,Trianon Jordlotten KB Jordlotten 9,,Mogensgatan,21448,Malmö,Malmö kommun,Skåne län,55.5823105,13.0183011,2
44,Trianon Mozart 1 AB,,Munkhättegatan 184,21579,Malmö,Malmö kommun,Skåne län,55.5586219,13.0176790,2
45,Trianon Lektorn AB Lektorn 5,,Munkhättegatan,21456,Malmö,Malmö kommun,Skåne län,55.5774678,13.0178740,2
46,Attendo Sverige AB 5300,,Märsgränd,21177,Malmö,Malmö kommun,Skåne län,55.6118552,12.9792820,2
47,Sjuettan Brf,,Möllevångstorget 7,21424,Malmö,Malmö kommun,Skåne län,55.5911855,13.0081455,2
48,Vesslan i Malmö Brf,,Nikolaigatan,21421,Malmö,Malmö kommun,Skåne län,55.5910251,13.0037784,2
50,Dammfrigården Brf,,Ribevägen,21746,Malmö,Malmö kommun,Skåne län,55.5909995,12.9807097,2
51,Grönskan Brf,,Roslins väg,21758,Malmö,Malmö kommun,Skåne län,55.6011277,12.9786401,2
52,Dahlia i Tygelsjö Brf,,Rödklintsgatan,21871,Tygelsjö,Malmö kommun,Skåne län,55.5154815,12.9950805,2
53,Malta Brf,,Saarisvägen,21220,Malmö,Malmö kommun,Skåne län,55.6095715,13.0309825,2
54,Vidar i Malmö HSB Brf,,Sallerupsvägen 30,21218,Malmö,Malmö kommun,Skåne län,55.6027750,13.0324284,2
55,Stjärnehus 3 i Malmö Brf,,Sergels väg,21757,Malmö,Malmö kommun,Skåne län,55.6018009,12.9744642,2
57,Horisonten i Lomma Brf,,Sjögatan 2,23439,Lomma,Lomma kommun,Skåne län,55.6789222,13.0609339,2
58,Triangeln i Malmö Brf,,Spångatan,21154,Malmö,Malmö kommun,Skåne län,55.5961433,13.0095049,2
59,Centrumtorget Brf,,Strandvägen,23431,Lomma,Lomma kommun,Skåne län,55.6733066,13.0703894,2
60,KB Tegelhuset,,Södra Förstadsgatan 19,21143,Malmö,Malmö kommun,Skåne län,55.5988588,13.0009275,2
61,Ljungbyhus 7 Brf,,Tessins väg,21758,Malmö,Malmö kommun,Skåne län,55.6006499,12.9756644,2
62,Rönneholm Brf,,Västra Rönneholmsvägen 53,21741,Malmö,Malmö kommun,Skåne län,55.5954240,12.9857669,2
63,Attendo Sverige AB 5302,,Västra Varvsgatan,21115,Malmö,Malmö kommun,Skåne län,55.6140732,12.9766799,2
64,Rosenborg Brf,,Örsholmsgången 8a,21742,Malmö,Malmö kommun,Skåne län,55.5943095,12.9838488,2
65,Kavalleristen Brf,,Östra Ryttmästaregatan 7a,21751,Malmö,Malmö kommun,Skåne län,55.5976861,12.9772868,2
